10 5 1,3 2,2;0
10 5 1,1 2,0
10 5 1,0 1,0
10 5 1,2 2,2;0
10 5 1,1 0,1
10 5 1,0 3,0
10 6 1,2 0,2;0
10 6 1,3 3,2;0
10 6 1,3 1,3;1
10 6 1,0 2,0
10 6 1,3 0,3;1
10 6 1,0 0,0
10 6 1,2 3,2;0
10 6 1,1 1,1
10 6 1,2 1,2;0
10 6 1,1 3,0
10 6 1,3 2,2;0
10 6 1,1 2,0
10 6 1,0 1,0
10 6 1,2 2,2;0
10 6 1,1 0,1
10 6 1,0 3,0
11 5 1,2 0,3
11 5 1,3 3,3
11 5 1,3 1,3
11 5 1,0 2,2;0
11 5 1,3 0,3
11 5 1,0 0,3;1
11 5 1,2 3,2
11 5 1,1 1,3;1
11 5 1,2 1,3
11 5 1,1 3,3;1
11 5 1,3 2,3
11 5 1,1 2,3;1
11 5 1,0 1,3;1
11 5 1,2 2,2
11 5 1,1 0,3;1
11 5 1,0 3,2;0
11 6 1,2 0,3
11 6 1,3 3,3
11 6 1,3 1,3
11 6 1,0 2,2;0
11 6 1,3 0,3
11 6 1,0 0,3;1
11 6 1,2 3,2
11 6 1,1 1,3;1
11 6 1,2 1,3
11 6 1,1 3,3;1
11 6 1,3 2,3
11 6 1,1 2,3;1
11 6 1,0 1,3;1
11 6 1,2 2,2
11 6 1,1 0,3;1
11 6 1,0 3,2;0
17 5 1,0,2;0
17 5 1,1,2;0
17 5 1,3,3;1
17 5 1,2,3;1
17 6 1,0,2;0
17 6 1,1,2;0
17 6 1,3,3;1
17 6 1,2,3;1
18 5 1,0,3;1
18 5 1,1,3;1
18 5 1,3,2;0
18 5 1,2,2;0
18 6 1,0,3;1
18 6 1,1,3;1
18 6 1,3,2;0
18 6 1,2,2;0
30 0 0,0,0
30 0 0,1,1
30 0 0,3,3
30 0 0,2,2
30 0 1,0,2;0
30 0 1,1,2;0
30 0 1,3,3;1
30 0 1,2,3;1
32 0 0,0,0
32 0 0,1,1
32 0 0,3,3
32 0 0,2,2
32 0 1,0,2;0
32 0 1,1,2;0
32 0 1,3,3;1
32 0 1,2,3;1
1 2,3 3 2,#t
1 2,3 2 2,#t
1 2,1 1 2,#t
1 2,2 1 2,#t
1 2,2 2 1,#t
1 2,1 3 1,#t
1 2,2 0 2,#t
1 2,3 1 2,#t
1 2,2 1 0,#t
1 2,1 2 3,#t
1 2,3 3 1,#t
1 2,1 1 1,#t
1 2,0 0 3,#t
1 2,3 2 3,#t
1 2,0 3 2,#t
1 2,2 2 2,#t
1 2,2 0 3,#t
1 2,2 1 1,#t
1 2,1 1 0,#t
1 2,3 3 0,#t
1 2,1 3 3,#t
1 2,0 2 2,#t
1 2,1 3 0,#t
1 2,2 0 0,#t
1 2,0 1 0,#t
